SITE_ID,VISIT_NO,thermocline_depth,buoyancy_frequency
NLA12_KS-114,1.0,5.1,0.00639025750295
NLA12_KS-121,1.0,0.5,0.00013828433232
NLA12_KS-122,1.0,6.84547129832,0.00157467325258
NLA12_KS-124,1.0,0.5,-0.0
NLA12_KS-125,1.0,8.51225798282,0.00624305288973
NLA12_KS-126,1.0,0.5,0.0125393784425
NLA12_KS-130,1.0,2.1,0.00629248687739
NLA12_KS-138,1.0,3.5,0.00127261652938
NLA12_KS-R02,1.0,2.8869916132,0.00355699867946
NLA12_KS-R07,1.0,4.5,0.00126791859035
NLA12_KS-R08,1.0,4.25,0.0182837648392
NLA12_KS-R11,1.0,4.4,0.0031992627582
NLA12_KY-101,1.0,3.72416214691,0.00732887521232
NLA12_KY-101,2.0,4.45946198578,0.0129070448823
NLA12_KY-102,1.0,3.59829285062,0.00913448257891
NLA12_KY-103,1.0,2.62162733631,0.00844396660797
NLA12_KY-104,1.0,0.25,0.000262888943354
NLA12_KY-107,1.0,2.83421370076,0.00556445644066
NLA12_KY-107,2.0,3.05,0.0180135983318
NLA12_KY-114,1.0,6.78833410665,0.00353746085747
NLA12_KY-116,1.0,5.05,0.00509967988661
NLA12_KY-117,1.0,3.2885331918,0.00711181714657
NLA12_KY-120,1.0,1.05,0.00280162334405
NLA12_KY-122,1.0,4.3627707694,0.00804004570104
NLA12_LA-101,1.0,2.42857142857,0.000573667209347
NLA12_LA-101,2.0,3.15,0.00688760935365
NLA12_LA-102,1.0,1.5624470665,0.00394993046252
NLA12_LA-103,1.0,1.45644350171,0.00405324916134
NLA12_LA-104,1.0,1.38781790984,0.002877444942
NLA12_LA-105,1.0,1.25,0.0087514548342
NLA12_LA-106,1.0,0.5,0.00437869419955
NLA12_LA-109,1.0,1.05,0.0125766467431
NLA12_LA-134,1.0,1.21490473427,0.000570127221088
NLA12_LA-134,2.0,1.59548137878,0.00337039164767
NLA12_LA-141,1.0,0.25,-0.0
NLA12_LA-152,1.0,2.45,0.00433779676065
NLA12_LA-154,1.0,0.3,0.032787356591
NLA12_LA-155,1.0,0.5,0.00695721195042
NLA12_LA-161,1.0,4.61595967444,0.0100728269486
NLA12_LA-172,1.0,0.25,0.0182087693071
NLA12_MA-101,1.0,4.05,0.018849365661
NLA12_MA-101,2.0,0.5,-0.0
NLA12_MA-102,1.0,1.25,0.00213515713477
NLA12_MA-103,1.0,0.997051567956,0.000364108759534
NLA12_MA-104,1.0,7.15,0.00438154919659
NLA12_MA-105,1.0,4.63376664552,0.00947452864615
NLA12_MA-105,2.0,5.50553096637,0.00845141298766
NLA12_MA-106,1.0,1.33098554085,0.000661734630059
NLA12_MA-108,1.0,0.25,-0.0
NLA12_MA-109,1.0,7.49476093666,0.0109760274357
NLA12_MA-110,1.0,7.61282728956,0.00971468506258
NLA12_MA-111,1.0,2.5,0.00419119009399
NLA12_MD-101,1.0,5.09006626181,0.00908036607766
NLA12_MD-101,2.0,6.54667256866,0.0126842291779
NLA12_MD-102,1.0,0.25,0.000280158333905
NLA12_MD-103,1.0,2.3,0.00830762212466
NLA12_MD-104,1.0,0.550087848637,0.00164322936247
NLA12_MD-105,1.0,0.722222222222,0.0020995189462
NLA12_MD-105,2.0,0.25,0.000551342734443
NLA12_MD-108,1.0,1.75,0.00660608698186
NLA12_MD-115,1.0,0.6,-0.0
NLA12_MD-118,1.0,0.25,-0.0
NLA12_ME-101,1.0,0.5,0.00193190284595
NLA12_ME-101,2.0,0.5,-0.0
NLA12_ME-102,1.0,4.87811925869,0.00632848623268
NLA12_ME-103,1.0,6.98474447937,0.00570934958698
NLA12_ME-104,1.0,1.5,0.0076713946267
NLA12_ME-105,1.0,1.35,0.000671166181945
NLA12_ME-106,1.0,4.16098453963,0.0085236271455
NLA12_ME-107,1.0,6.268457235,0.00734873362394
NLA12_ME-108,1.0,12.2418848346,0.00414231342593
NLA12_ME-109,1.0,7.57331256815,0.00388690957614
NLA12_ME-110,1.0,7.81206789595,0.00836170353907
NLA12_ME-113,1.0,0.5,0.00513269251358
NLA12_ME-114,1.0,3.32118882607,0.0109837867904
NLA12_ME-115,1.0,2.83211610606,0.00798137862221
NLA12_ME-116,1.0,1.47410593899,0.00208348478221
NLA12_ME-118,1.0,4.47798166658,0.0136432614474
NLA12_ME-120,1.0,3.35086536918,0.00859344292045
NLA12_ME-121,1.0,3.56613546378,0.00993518272803
NLA12_ME-122,1.0,3.50150401553,0.0118747436697
NLA12_ME-126,1.0,3.75824487296,0.00760655879038
NLA12_ME-126,2.0,4.15,0.00750266747604
NLA12_ME-129,1.0,2.25,0.00233450675796
NLA12_ME-130,1.0,3.32717758206,0.0132088664276
NLA12_ME-134,1.0,2.25,0.00652002469072
NLA12_ME-135,1.0,3.5,0.000417831646444
NLA12_ME-137,1.0,3.35634505773,0.00726707396566
NLA12_ME-R02,1.0,2.5,0.000743716184665
NLA12_ME-R03,1.0,3.19220354021,0.0083682713679
NLA12_ME-R06,1.0,4.40592451433,0.00624305288973
NLA12_ME-R07,1.0,4.65476774415,0.0119030222615
NLA12_ME-R08,1.0,5.57596270483,0.00732506652312
NLA12_ME-R10,1.0,6.44733936418,0.0113085906372
NLA12_ME-R11,1.0,2.5,0.00103118369498
NLA12_ME-R15,1.0,4.4124463327,0.0103380537845
NLA12_MI-101,1.0,4.0293451563,0.00912052824295
NLA12_MI-101,2.0,5.15,0.00146716464327
NLA12_MI-102,1.0,1.70304884246,0.00317339751449
NLA12_MI-103,1.0,5.67025646988,0.00705862876031
NLA12_MI-104,1.0,3.9427101152,0.0101817453448
NLA12_MI-105,1.0,7.73874119977,0.00896031492865
NLA12_MI-106,1.0,4.15200638841,0.000927920580988
NLA12_MI-107,1.0,10.788106563,0.00592360361869
NLA12_MI-108,1.0,5.16479199524,0.0100753694297
NLA12_MI-109,1.0,3.59644114758,0.0127266484345
NLA12_MI-110,1.0,3.59784117891,0.0169610664174
NLA12_MI-111,1.0,4.65570813328,0.0054510307818
NLA12_MI-112,1.0,4.27990296878,0.0121481951223
NLA12_MI-113,1.0,7.63806427521,0.00659575158554
NLA12_MI-114,1.0,4.37434954298,0.0138143027153
NLA12_MI-115,1.0,0.3,-0.0
NLA12_MI-116,1.0,1.66666666667,0.000462965413521
NLA12_MI-117,1.0,4.76120561261,0.007744546323
NLA12_MI-118,1.0,5.70212294751,0.0113636274068
NLA12_MI-120,1.0,3.5,0.0140393028155
NLA12_MI-122,1.0,11.2780538051,0.0058756183391
NLA12_MI-123,1.0,3.81620525425,0.0129631312094
NLA12_MI-124,1.0,0.756129927508,0.00341029170305
NLA12_MI-125,1.0,1.70588235294,0.000939632654723
