,NLA12_ID,AreaSqKM,time
413,NLA12_IN-171,4.4964,
414,NLA12_IN-172,37.308119,
415,NLA12_IN-174,5.1642,
416,NLA12_IN-177,4.6827,
417,NLA12_IN-179,100.010371,
418,NLA12_IN-180,0.5004,
419,NLA12_IN-181,0.0729,
420,NLA12_IN-183,3.604808,
421,NLA12_IN-184,0.826882,
422,NLA12_IN-185,65.35711,
423,NLA12_IN-186,6.999312,
424,NLA12_IN-187,18.991566,
425,NLA12_IN-191,1.2474,
426,NLA12_IN-193,0.3663,
427,NLA12_IN-194,3.300823,
428,NLA12_IN-195,2.856064,
429,NLA12_IN-196,121.684765,
430,NLA12_IN-197,1.4364,
431,NLA12_IN-198,4.270447,
432,NLA12_IN-199,18.46417,
433,NLA12_IN-200,0.63,
434,NLA12_IN-201,0.2439,
435,NLA12_IN-202,0.1809,
436,NLA12_KS-101,1.3716,
437,NLA12_KS-102,386.520655,
438,NLA12_KS-103,18.31422,
439,NLA12_KS-105,1.6974,
440,NLA12_KS-106,27.528091,
441,NLA12_KS-107,12.117148,
442,NLA12_KS-108,24.225524,
443,NLA12_KS-109,1.521666,
444,NLA12_KS-113,0.729,
445,NLA12_KS-114,18.658623,
446,NLA12_KS-115,1.416668,
447,NLA12_KS-121,6.149929,
448,NLA12_KS-122,13148.20196,
449,NLA12_KS-123,0.4662,
450,NLA12_KS-124,18.253307,
451,NLA12_KS-125,20.617565,
452,NLA12_KS-126,0.528897,
453,NLA12_KS-128,0.8343,
454,NLA12_KS-130,2.05136,
455,NLA12_KS-131,3.756993,
456,NLA12_KS-137,0.45,
457,NLA12_KS-138,0.459,
458,NLA12_KS-140,1.231865,
459,NLA12_KS-143,28.235552,
460,NLA12_KS-145,1.5606,
461,NLA12_KS-146,11.6073,
462,NLA12_KS-R02,15.036739,
463,NLA12_KS-R07,17.336152,
464,NLA12_KS-R08,1.412398,
465,NLA12_KS-R11,68.769894,
466,NLA12_KY-101,11.866461,
467,NLA12_KY-102,8.55652,
468,NLA12_KY-103,14.135655,
469,NLA12_KY-104,0.2853,
470,NLA12_KY-106,2.274275,
471,NLA12_KY-107,9.797938,
472,NLA12_KY-110,0.936847,
473,NLA12_KY-114,1805.499529,
474,NLA12_KY-115,13.367903,
475,NLA12_KY-116,14.091472,
476,NLA12_KY-117,0.2646,
477,NLA12_KY-120,9.850357,
478,NLA12_KY-122,77.021115,
479,NLA12_LA-101,23.068511,
480,NLA12_LA-102,92.247023,
481,NLA12_LA-103,1.0026,
482,NLA12_LA-104,3771.154107,
483,NLA12_LA-105,105.003047,
484,NLA12_LA-106,1.6164,
485,NLA12_LA-109,1.4157,
486,NLA12_LA-112,0.2277,
487,NLA12_LA-118,56.9592,
488,NLA12_LA-122,0.9828,
489,NLA12_LA-134,6608.847172,
490,NLA12_LA-141,3.5865,
491,NLA12_LA-152,19.9233,
492,NLA12_LA-154,1.6326,
493,NLA12_LA-155,0.3168,
494,NLA12_LA-161,2.0403,
495,NLA12_LA-172,2.1357,
496,NLA12_MA-101,2.1771,
497,NLA12_MA-102,50.846418,
498,NLA12_MA-103,5.6259,
499,NLA12_MA-104,4.424796,
500,NLA12_MA-105,126.350014,
501,NLA12_MA-106,1.0368,
502,NLA12_MA-108,0.4401,
503,NLA12_MA-109,1.1394,
504,NLA12_MA-110,2.497846,
505,NLA12_MA-111,25.032199,
506,NLA12_MD-101,24.249002,
507,NLA12_MD-102,71.180797,
508,NLA12_MD-103,3.601044,
509,NLA12_MD-104,100.132889,
510,NLA12_MD-105,35.176202,
511,NLA12_MD-107,17.534869,
512,NLA12_MD-108,33.04459,
513,NLA12_MD-115,0.370773,
514,NLA12_MD-118,50.779941,
515,NLA12_ME-101,25.93446,
516,NLA12_ME-102,100.272178,
517,NLA12_ME-103,169.093282,
518,NLA12_ME-104,39.455906,
519,NLA12_ME-105,4.461748,
520,NLA12_ME-106,9.542006,
521,NLA12_ME-107,3.261093,
522,NLA12_ME-108,229.183475,
523,NLA12_ME-109,485.185426,
524,NLA12_ME-110,25.65515,
525,NLA12_ME-111,1.99252,
526,NLA12_ME-112,0.369,
527,NLA12_ME-113,0.309655,
528,NLA12_ME-114,37.373391,
529,NLA12_ME-115,0.968816,
530,NLA12_ME-116,2.868335,
531,NLA12_ME-118,2.25,
532,NLA12_ME-119,2.565741,
533,NLA12_ME-120,49.062493,
534,NLA12_ME-121,6.577007,
535,NLA12_ME-122,88.068438,
536,NLA12_ME-124,0.0819,
537,NLA12_ME-126,0.614525,
538,NLA12_ME-127,0.524174,
539,NLA12_ME-129,2.49805,
540,NLA12_ME-130,0.314215,
541,NLA12_ME-131,1.207395,
542,NLA12_ME-134,0.2898,
543,NLA12_ME-135,28.479359,
544,NLA12_ME-136,2.168825,
545,NLA12_ME-137,3.8763,
546,NLA12_ME-R02,1.485222,
547,NLA12_ME-R03,1.0332,
548,NLA12_ME-R06,0.779588,
549,NLA12_ME-R07,2.631804,
550,NLA12_ME-R08,54.171221,
551,NLA12_ME-R10,14.287886,
552,NLA12_ME-R11,22.507354,
553,NLA12_ME-R15,15.833995,
554,NLA12_MI-101,4.8762,
555,NLA12_MI-102,1957.598216,
556,NLA12_MI-103,16.06573,
557,NLA12_MI-104,6.850646,
558,NLA12_MI-105,7061.852663,
559,NLA12_MI-106,16.600489,
560,NLA12_MI-107,304.967638,
561,NLA12_MI-108,9.684,
562,NLA12_MI-109,1063.188623,
563,NLA12_MI-110,23.999168,
564,NLA12_MI-111,2135.588837,
565,NLA12_MI-112,381.918648,
566,NLA12_MI-113,105.909561,
567,NLA12_MI-114,59.958275,
568,NLA12_MI-115,4.047475,
569,NLA12_MI-116,26.957579,
570,NLA12_MI-117,1.7379,
571,NLA12_MI-118,2.4471,
572,NLA12_MI-120,2.006752,
573,NLA12_MI-122,4.7925,
574,NLA12_MI-123,24.56568,
575,NLA12_MI-124,0.6651,
576,NLA12_MI-125,3.207462,
577,NLA12_MI-126,48.431446,
578,NLA12_MI-128,23.6754,
579,NLA12_MI-129,2.522501,
580,NLA12_MI-130,111.515751,
581,NLA12_MI-131,0.2493,
582,NLA12_MI-132,0.7092,
583,NLA12_MI-133,5.106748,
584,NLA12_MI-135,225.474253,
585,NLA12_MI-136,3.0276,
586,NLA12_MI-137,0.2691,
587,NLA12_MI-139,0.1593,
588,NLA12_MI-141,1.1079,
589,NLA12_MI-142,0.6138,
590,NLA12_MI-144,18.328401,
591,NLA12_MI-145,2.414352,
592,NLA12_MI-148,22.356986,
593,NLA12_MI-149,0.2223,
594,NLA12_MI-150,6.7293,
595,NLA12_MI-151,0.3195,
596,NLA12_MI-152,3.4074,
597,NLA12_MI-154,0.4941,
598,NLA12_MI-155,1.0449,
599,NLA12_MI-157,8.6634,
600,NLA12_MI-159,0.3357,
601,NLA12_MI-161,133.569912,
602,NLA12_MI-162,6.039,
603,NLA12_MI-163,0.036,
604,NLA12_MI-164,6.3675,
605,NLA12_MI-165,0.2979,
606,NLA12_MI-166,13.415275,
607,NLA12_MI-167,4.1796,
608,NLA12_MI-168,46.848151,
609,NLA12_MI-169,0.8253,
610,NLA12_MI-170,5.872398,
611,NLA12_MI-171,0.1359,
612,NLA12_MI-172,3.0114,
613,NLA12_MI-173,0.3033,
614,NLA12_MI-174,0.0468,
615,NLA12_MI-176,0.3645,
616,NLA12_MI-177,29.3922,
617,NLA12_MI-178,2.4552,
618,NLA12_MI-R08,2.1987,
619,NLA12_MI-R09,10.6147,
620,NLA12_MN-101,53.343889,
621,NLA12_MN-102,12.159662,
622,NLA12_MN-103,9.7074,
623,NLA12_MN-104,2.7684,
624,NLA12_MN-105,2.709,
625,NLA12_MN-106,464.378886,
626,NLA12_MN-107,118.500767,
627,NLA12_MN-108,17.208,
628,NLA12_MN-109,1.957408,
629,NLA12_MN-110,52.810433,
630,NLA12_MN-111,4.374,
631,NLA12_MN-112,12.595358,
632,NLA12_MN-113,10.562405,
